time [ms],mag_x [μT],mag_y [μT],mag_z [μT]
38310,7.195945739746094,21.515289306640625,-21.692306518554688
38320,7.208671569824219,21.58270263671875,-21.87896728515625
38330,7.208671569824219,21.58270263671875,-21.87896728515625
38340,7.35003662109375,21.461669921875,-21.584022521972656
38350,7.7402191162109375,21.40223693847656,-22.23475646972656
38360,7.667030334472656,21.32603454589844,-22.11620330810547
38370,7.496551513671875,21.47114562988281,-22.19305419921875
38380,7.506935119628906,21.442550659179688,-22.171371459960938
38390,7.590042114257812,21.316452026367188,-22.14493560791016
38400,7.788307189941406,21.174224853515625,-21.820236206054688
38410,7.694770812988281,21.296295166015625,-21.81018829345703
38420,7.929023742675781,21.125228881835938,-21.99375915527344
38430,8.21795654296875,21.2275390625,-21.72461700439453
38440,8.265411376953125,20.774459838867188,-22.076004028320312
38450,8.330253601074219,20.982437133789062,-21.987892150878903
38460,8.520675659179688,20.805099487304688,-22.23272705078125
38470,8.477348327636719,20.669967651367188,-22.583541870117188
38480,8.579421997070312,20.504608154296875,-22.281089782714844
38490,8.58966064453125,20.55479431152344,-22.17298889160156
38500,8.666900634765625,20.297882080078125,-22.198081970214844
38510,8.718948364257812,20.386245727539062,-21.724952697753903
38520,8.675346374511719,20.30238342285156,-21.684288024902344
38530,8.773902893066406,20.383819580078125,-21.87071228027344
38540,8.966026306152344,20.241607666015625,-21.866668701171875
38550,8.97906494140625,19.887725830078125,-21.771751403808597
38560,9.29021453857422,19.820144653320312,-21.83435821533203
38570,8.956222534179688,19.859344482421875,-21.72022247314453
38580,9.049797058105469,19.76084899902344,-21.69282531738281
38590,9.161003112792969,19.622817993164062,-21.86748504638672
38600,8.95880126953125,19.721939086914062,-21.909202575683597
38610,8.52764892578125,19.590377807617188,-22.12836456298828
38620,8.842147827148438,19.57720947265625,-22.44542694091797
38630,8.450210571289062,19.296539306640625,-22.57514953613281
38640,8.590217590332031,19.31695556640625,-22.645980834960938
38650,8.637763977050781,19.17742919921875,-22.778289794921875
38660,8.602401733398438,19.066375732421875,-22.814964294433597
38670,8.385261535644531,19.045242309570312,-22.91045379638672
38680,8.501991271972656,18.79676818847656,-23.083328247070312
38690,8.386703491210938,18.921417236328125,-23.18274688720703
38700,8.388473510742188,19.032485961914062,-23.07135772705078
38710,8.170425415039062,19.117935180664062,-23.10407257080078
38720,8.139617919921875,18.94247436523437,-22.751014709472656
